exp_id,n_folds,spearman_mean,spearman_std,pearson_mean,pearson_std,auroc_mean,auroc_std,aupr_mean,aupr_std
A1,5,0.8062303451226189,0.016036832364009358,0.8231721599937576,0.01345362909915026,,,,
A2,5,,,,,0.9389044432812528,0.0443866032450181,0.22566181113858078,0.19930373682175787
B1,5,0.8106059368790272,0.01705731756321044,0.8211298767913581,0.01492490367281842,,,,
B2,5,,,,,0.7707926000282102,0.09962897590541624,0.08173278992727959,0.11357683759280385
MTL-Full,5,0.8124585239068853,0.024754336940316462,0.8233088477474146,0.02313114714807674,0.8113715254155895,0.12151045187051303,0.03978917260422614,0.026470734107236327
ABL1,5,0.6612240203549542,0.015779181158135175,0.668024704926058,0.016153751803792332,0.7640460071608551,0.12730404759484698,0.03977895489439284,0.026013307033019732
ABL2,5,0.7694899321591577,0.03842841638881573,0.7822606754812284,0.04222510406474216,0.8114931789679855,0.11189494720884106,0.03577270084431516,0.02939785437650384
ABL3,5,0.8036590041618046,0.01601886083426038,0.8175342642319577,0.016664627787981758,0.8329689157334956,0.10252386676100027,0.058880248664948856,0.040490033305956026
